Tile,Source Number,APT_g,APT_error_g,m_g,m_g_error,M_g,M_g_error,APT_i,APT_error_i,m_i,m_i_error,M_i,M_i_error,,,,,
3,12,-6.9797,0.0255,18.01875,,10.23121399,,-6.8328,0.0284,18.15565,,10.36811399,,,,,,
3,13,-5.7971,0.0618,19.20135,,11.41381399,,-7.2099,0.0266,17.77855,,9.99101399,,,,,,
3,14,-5.4874,0.0779,19.51105,,11.72351399,,-5.3277,0.0908,19.66075,,11.87321399,,,,,,
3,15,-5.5049,0.0773,19.49355,,11.70601399,,-6.9714,0.0318,18.01705,,10.22951399,,,,,,
3,16,-6.1066,0.0479,18.89185,,11.10431399,,-6.2789,0.0422,18.70955,,10.92201399,,,,,,
3,17,-9.2632,0.0068,15.73525,,7.94771399,,-10.1549,0.0044,14.83355,,7.04601399,,,,,,
3,18,-12.012,0.0018,12.98645,,5.19891399,,-11.2743,0.0026,13.71415,,5.92661399,,,,,,
3,19,-9.9966,0.0048,15.00185,,7.21431399,,-10.2012,0.0043,14.78725,,6.99971399,,,,,,
3,20,-8.7006,0.0091,16.29785,,8.51031399,,-9.1566,0.0076,15.83185,,8.04431399,,,,,,
3,21,-6.6919,0.0393,18.30655,,10.51901399,,-7.0095,0.025,17.97895,,10.19141399,,,,,,
3,22,-6.3925,0.1359,18.60595,,10.81841399,,-13.3697,0.001,11.61875,,3.83121399,,,,,,
3,23,-13.5689,0.0009,11.42955,,3.64201399,,-13.1897,0.0011,11.79875,,4.01121399,,,,,,
3,24,-8.603,0.0097,16.39545,,8.60791399,,-8.2038,0.0135,16.78465,,8.99711399,,,,,,
3,25,-5.6217,0.0701,19.37675,,11.58921399,,-5.6231,0.0953,19.36535,,11.57781399,,,,,,
3,26,-5.7721,0.0845,19.22635,,11.43881399,,-5.9187,0.0747,19.06975,,11.28221399,,,,,,
3,27,-7.3058,0.0247,17.69265,,9.90511399,,-8.347,0.0123,16.64145,,8.85391399,,,,,,
3,28,-6.5649,0.0434,18.43355,,10.64601399,,-6.7855,0.0365,18.20295,,10.41541399,,,,,,
3,29,-6.3036,0.0537,18.69485,,10.90731399,,-6.7367,0.0379,18.25175,,10.46421399,,,,,,
3,30,-7.4453,0.0223,17.55315,,9.76561399,,-7.3674,0.0198,17.62105,,9.83351399,,,,,,
3,31,-6.5661,0.034,18.43235,,10.64481399,,-6.7603,0.0371,18.22815,,10.44061399,,,,,,
3,32,-5.3575,0.0867,19.64095,,11.85341399,,-4.1545,0.2468,20.83395,,13.04641399,,,,,,
3,33,-10.4445,0.0038,14.55395,,6.76641399,,-10.0055,0.0047,14.98295,,7.19541399,,,,,,
3,34,-5.5391,0.1033,19.45935,,11.67181399,,-5.5353,0.1029,19.45315,,11.66561399,,,,,,
3,35,-8.8383,0.0085,16.16015,,8.37261399,,-8.9374,0.0081,16.05105,,8.26351399,,,,,,
3,36,-5.1827,0.1398,19.81575,,12.02821399,,-6.2009,0.0452,18.78755,,11.00001399,,,,,,
3,37,-5.483,0.1072,19.51545,,11.72791399,,-4.8525,0.1883,20.13595,,12.34841399,,,,,,
3,38,-5.8208,0.06,19.17765,,11.39011399,,-5.0892,0.152,19.89925,,12.11171399,,,,,,
3,39,-5.8852,0.057,19.11325,,11.32571399,,-5.4319,0.0828,19.55655,,11.76901399,,,,,,
3,40,-5.223,0.1362,19.77545,,11.98791399,,-5.1334,0.1468,19.85505,,12.06751399,,,,,,
3,41,-6.7193,0.0383,18.27915,,10.49161399,,-6.8265,0.0284,18.16195,,10.37441399,,,,,,
3,42,-6.2601,0.043,18.73835,,10.95081399,,-6.166,0.0581,18.82245,,11.03491399,,,,,,
3,43,-8.1251,0.0126,16.87335,,9.08581399,,-8.2088,0.012,16.77965,,8.99211399,,,,,,
3,44,-5.4859,0.0781,19.51255,,11.72501399,,-5.4426,0.1108,19.54585,,11.75831399,,,,,,
3,45,-9.6235,0.0057,15.37495,,7.58741399,,-9.4414,0.0063,15.54705,,7.75951399,,,,,,
3,46,-6.5942,0.0425,18.40425,,10.61671399,,-7.0211,0.0249,17.96735,,10.17981399,,,,,,
3,47,-5.9404,0.0544,19.05805,,11.27051399,,-6.9814,0.0314,18.00705,,10.21951399,,,,,,
3,48,-13.6181,0.0012,11.38035,,3.59281399,,-13.3432,0.0013,11.64525,,3.85771399,,,,,,
3,49,-6.2249,0.0438,18.77355,,10.98601399,,-6.553,0.0436,18.43545,,10.64791399,,,,,,
3,50,-5.7291,0.064,19.26935,,11.48181399,,-5.3937,0.0841,19.59475,,11.80721399,,,,,,
