Tile,Source Number,APT_g,APT_error_g,m_g,m_g_ec,m_g_error,M_g,M_g_error,APT_i,APT_error_i,m_i,m_i_ec,m_i_error,M_i,M_i_error,g-i,,,,
3,71,-5.4073,0.084,19.32629,18.76478,,10.97724399,,-5.5693,0.0998,19.41915,19.13049,,11.34295399,,-0.36571,,,,
3,72,-6.8438,0.0283,17.88979,17.32828,,9.54074399,,-6.924,0.0331,18.06445,17.77579,,9.98825399,,-0.44751,,,,
3,73,-7.0123,0.031,17.72129,17.15978,,9.37224399,,-7.2233,0.0265,17.76515,17.47649,,9.68895399,,-0.31671,,,,
3,74,-6.6076,0.0419,18.12599,17.56448,,9.77694399,,-6.7783,0.037,18.21015,17.92149,,10.13395399,,-0.35701,,,,
3,75,-5.7531,0.0862,18.98049,18.41898,,10.63144399,,-6.8417,0.0356,18.14675,17.85809,,10.07055399,,0.56089,,,,
3,76,-6.4448,0.0482,18.28879,17.72728,,9.93974399,,-6.2973,0.0548,18.69115,18.40249,,10.61495399,,-0.67521,,,,
3,77,-5.5789,0.0995,19.15469,18.59318,,10.80564399,,-5.6904,0.0676,19.29805,19.00939,,11.22185399,,-0.41621,,,,
3,78,-8.3535,0.0123,16.38009,15.81858,,8.03104399,,-8.4331,0.0117,16.55535,16.26669,,8.47915399,,-0.44811,,,,
3,79,-9.2951,0.0072,15.43849,14.87698,,7.08944399,,-9.2799,0.0072,15.70855,15.41989,,7.63235399,,-0.54291,,,,
1,1,-9.0338,0.0172,16.42545,15.86394,,8.07640399,,-9.5869,0.0133,14.570855,14.282195,,6.49465899,,1.581745,,,,
1,2,-7.6618,0.0332,17.79745,17.23594,,9.44840399,,-8.5874,0.0216,16.26857,15.97991,,8.19237399,,1.25603,,,,
