Tile,Source Number,APT_g,APT_error_g,m_g,m_g_error,M_g,M_g_error,APT_i,APT_error_i,m_i,m_i_error,M_i,M_i_error,g-i,,,,
3,35,-8.8383,0.0085,15.89529,,8.10775399,,-8.9374,0.0081,16.05105,,8.26351399,,-0.15576,,,,
3,36,-5.1827,0.1398,19.55089,,11.76335399,,-6.2009,0.0452,18.78755,,11.00001399,,0.76334,,,,
3,37,-5.483,0.1072,19.25059,,11.46305399,,-4.8525,0.1883,20.13595,,12.34841399,,-0.88536,,,,
3,38,-5.8208,0.06,18.91279,,11.12525399,,-5.0892,0.152,19.89925,,12.11171399,,-0.98646,,,,
3,39,-5.8852,0.057,18.84839,,11.06085399,,-5.4319,0.0828,19.55655,,11.76901399,,-0.70816,,,,
3,40,-5.223,0.1362,19.51059,,11.72305399,,-5.1334,0.1468,19.85505,,12.06751399,,-0.34446,,,,
3,41,-6.7193,0.0383,18.01429,,10.22675399,,-6.8265,0.0284,18.16195,,10.37441399,,-0.14766,,,,
3,42,-6.2601,0.043,18.47349,,10.68595399,,-6.166,0.0581,18.82245,,11.03491399,,-0.34896,,,,
3,43,-8.1251,0.0126,16.60849,,8.82095399,,-8.2088,0.012,16.77965,,8.99211399,,-0.17116,,,,
3,44,-5.4859,0.0781,19.24769,,11.46015399,,-5.4426,0.1108,19.54585,,11.75831399,,-0.29816,,,,
3,45,-9.6235,0.0057,15.11009,,7.32255399,,-9.4414,0.0063,15.54705,,7.75951399,,-0.43696,,,,
3,46,-6.5942,0.0425,18.13939,,10.35185399,,-7.0211,0.0249,17.96735,,10.17981399,,0.17204,,,,
3,47,-5.9404,0.0544,18.79319,,11.00565399,,-6.9814,0.0314,18.00705,,10.21951399,,0.78614,,,,
3,48,-13.6181,0.0012,11.11549,,3.32795399,,-13.3432,0.0013,11.64525,,3.85771399,,-0.52976,,,,
3,49,-6.2249,0.0438,18.50869,,10.72115399,,-6.553,0.0436,18.43545,,10.64791399,,0.07324,,,,
3,50,-5.7291,0.064,19.00449,,11.21695399,,-5.3937,0.0841,19.59475,,11.80721399,,-0.59026,,,,
3,51,-5.7064,0.0652,19.02719,,11.23965399,,-6.5926,0.0424,18.39585,,10.60831399,,0.63134,,,,
3,52,-7.3516,0.0199,17.38199,,9.59445399,,-8.2197,0.0133,16.76875,,8.98121399,,0.61324,,,,
3,53,-7.6063,0.0171,17.12729,,9.33975399,,-7.4297,0.0228,17.55875,,9.77121399,,-0.43146,,,,
3,54,-5.3716,0.0862,19.36199,,11.57445399,,-4.8331,0.1351,20.15535,,12.36781399,,-0.79336,,,,
3,55,-5.4506,0.0804,19.28299,,11.49545399,,-5.024,0.1598,19.96445,,12.17691399,,-0.68146,,,,
3,56,-5.5085,0.0765,19.22509,,11.43755399,,-5.7351,0.0865,19.25335,,11.46581399,,-0.02826,,,,
3,57,-5.5965,0.098,19.13709,,11.34955399,,-5.8001,0.082,19.18835,,11.40081399,,-0.05126,,,,
3,58,-9.246,0.0073,15.48759,,7.70005399,,-9.1305,0.0077,15.85795,,8.07041399,,-0.37036,,,,
3,59,-5.8836,0.0761,18.84999,,11.06245399,,-5.2782,0.1289,19.71025,,11.92271399,,-0.86026,,,,
3,60,-5.04,0.1136,19.69359,,11.90605399,,-5.0612,0.1552,19.92725,,12.13971399,,-0.23366,,,,
3,61,-7.2098,0.0266,17.52379,,9.73625399,,-7.8524,0.0147,17.13605,,9.34851399,,0.38774,,,,
