Tile,Source Number,APT_g,APT_error_g,m_g,m_g_error,M_g,M_g_error,APT_i,APT_error_i,m_i,m_i_error,M_i,M_I_error,g-i,,,,
1,166,-6.2857,0.0549,18.7329,,10.94536399,,-6.0558,0.0831,17.8232,,10.03566399,,-0.9097,,,,
1,167,-5.576,0.0742,19.4426,,11.65506399,,-5.6787,0.0923,18.2003,,10.41276399,,-1.2423,,,,
1,168,-9.0689,0.0076,15.9497,,8.16216399,,-8.541,0.011,15.338,,7.55046399,,-0.6117,,,,
1,169,-5.5964,0.1006,19.4222,,11.63466399,,-5.3762,0.1544,18.5028,,10.71526399,,-0.9194,,,,
1,170,-8.9073,0.0082,16.1113,,8.32376399,,-8.5251,0.0111,15.3539,,7.56636399,,-0.7574,,,,
1,171,-8.6973,0.0099,16.3213,,8.53376399,,-8.2843,0.0129,15.5947,,7.80716399,,-0.7266,,,,
1,172,-11.3571,0.0025,13.6615,,5.87396399,,-10.9947,0.003,12.8843,,5.09676399,,-0.7772,,,,
1,173,-9.5066,0.0061,15.512,,7.72446399,,-9.3786,0.0068,14.5004,,6.71286399,,-1.0116,,,,
1,174,-5.4669,0.0819,19.5517,,11.76416399,,-5.8501,0.0795,18.0289,,10.24136399,,-1.5228,,,,
1,175,-9.4415,0.007,15.5771,,7.78956399,,-9.2281,0.0074,14.6509,,6.86336399,,-0.9262,,,,
1,176,-9.227,0.007,15.7916,,8.00406399,,-8.7972,0.0094,15.0818,,7.29426399,,-0.7098,,,,
1,177,-8.8543,0.0091,16.1643,,8.37676399,,-8.9257,0.0088,14.9533,,7.16576399,,-1.211,,,,
1,178,-6.0389,0.0683,18.9797,,11.19216399,,-5.5042,0.1368,18.3748,,10.58726399,,-0.6049,,,,
1,179,-5.484,0.1405,19.5346,,11.74706399,,-5.1992,0.1534,18.6798,,10.89226399,,-0.8548,,,,
1,180,-6.5927,0.0431,18.4259,,10.63836399,,-6.1724,0.0753,17.7066,,9.91906399,,-0.7193,,,,
1,181,-7.1096,0.0289,17.909,,10.12146399,,-7.0925,0.0296,16.7865,,8.99896399,,-1.1225,,,,
1,182,-7.6341,0.0198,17.3845,,9.59696399,,-7.1079,0.029,16.7711,,8.98356399,,-0.6134,,,,
