# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Wed Oct 22 22:48:35 UTC 2025
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: SDSS <i>ugriz</i>
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag
0.0152 0.01508 7.11000 1.2999999523 2.5194498592    1.300  0.362  3.7629  4.193    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.15e-13      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.720e-03 -1.000 1.527e-02 3.864 5.569 4.208 3.728 3.620 3.605
0.0152 0.01508 7.11000 1.3105366230 2.5206450372    1.311  0.397  3.7669  4.178    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.23e-13      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.720e-03 -1.000 1.527e-02 3.779 5.429 4.104 3.643 3.541 3.531
0.0152 0.01508 7.11000 1.3302756548 2.5228255515    1.330  0.463  3.7748  4.150    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.39e-13      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.720e-03 -1.000 1.527e-02 3.612 5.163 3.903 3.477 3.388 3.388
0.0152 0.01508 7.11000 1.3495637178 2.5248855440    1.350  0.529  3.7828  4.122    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.58e-13      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.720e-03 -1.000 1.527e-02 3.447 4.908 3.704 3.315 3.239 3.248
0.0152 0.01508 7.11000 1.3500001431 2.5249313723    1.350  0.531  3.7830  4.122    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.59e-13      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.720e-03 -1.000 1.527e-02 3.443 4.902 3.700 3.311 3.235 3.245
0.0152 0.01508 7.11000 1.3566300869 2.5256234029    1.357  0.553  3.7858  4.112    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.65e-13      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.720e-03 -1.000 1.527e-02 3.387 4.818 3.633 3.256 3.185 3.197
0.0152 0.01508 7.11000 1.3769266605 2.5276943887    1.377  0.619  3.7948  4.089    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.84e-13      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.720e-03 -1.000 1.527e-02 3.222 4.574 3.435 3.097 3.040 3.063
0.0152 0.01508 7.11000 1.3993813992 2.5299052784    1.400  0.684  3.8053  4.073    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.02e-13      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.720e-03 -1.000 1.527e-02 3.060 4.333 3.236 2.943 2.903 2.937
0.0152 0.01508 7.11000 1.4000000954 2.5299650415    1.400  0.685  3.8056  4.073    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.02e-13      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.720e-03 -1.000 1.527e-02 3.057 4.328 3.232 2.940 2.900 2.934
0.0152 0.01508 7.11000 1.4225059748 2.5320984273    1.423  0.738  3.8166  4.072    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.09e-13      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.719e-03 -1.000 1.527e-02 2.926 4.135 3.066 2.818 2.797 2.843
0.0152 0.01508 7.11000 1.4383226633 2.5335518765    1.439  0.767  3.8246  4.079    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.09e-13      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.719e-03 -1.000 1.527e-02 2.852 4.027 2.968 2.749 2.741 2.795
0.0152 0.01508 7.11000 1.4463071823 2.5342717306    1.447  0.774  3.8281  4.089    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.03e-13      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.719e-03 -1.000 1.527e-02 2.836 3.997 2.943 2.736 2.733 2.791
